,场景名称：请具体到一个工位、动作或功能,行业,应用/装备名称,行业：请填写该场景对应的行业名称,行业：请填写该场景对应的行业名称-其他-补充内容 2,场景与方案概述：请简述该场景下的目的和动作,部件组合：为完成该场景目标动作所需的所有部件,部件组合,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息,行业：请填写该场景对应的行业名称 Copy,部件组合：为完成该场景目标动作所需的所有部件 Copy,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy
0,3D打印机,,3D打印机,"消费类, 制造业",,xyz轴同步配合,"工控机或单片机
   3轴定制直线电机",,"1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积", ,"消费类, 制造业","工控机或单片机
   3轴定制直线电机","1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积", 
1,6轴机械臂码垛机器人,,协作机器人,物流,,目的是控制机械臂末端实现6自由度的复杂运动轨迹，由工控机+6个关节实现,"工控机
   每个关节：1台无框电机+减速机+内环编码器+外环编码器+可选抱闸+直流伺服环形驱动器
   ",,"1. 末端抖动抑制
   2. 高集成度
   3. 散热通路",蓝思,物流,"工控机
   每个关节：1台无框电机+减速机+内环编码器+外环编码器+可选抱闸+直流伺服环形驱动器
   ","1. 末端抖动抑制
   2. 高集成度
   3. 散热通路",蓝思
2,XYZ轴精准雕刻控制,制造业,CNC小型雕刻机,制造业,,CNC小型雕刻机用于通过雕刻实现精密加工。直流伺服用于XYZ轴的运动控制，实现精准定位与平滑运动，确保雕刻的精度和表面质量。,,,对XYZ轴的高精度、高响应及稳定性要求较高。,,制造业,"3个直流伺服驱动, 3个直线电机, 控制器, 直线编码器",对XYZ轴的高精度、高响应及稳定性要求较高。,某机械公司用于生产高精度钢模具
3,芯片封装焊接控制,半导体设备,IC封装设备,半导体设备,,IC封装设备用于将制作好的芯片封装到封装基板上，需要实现精密的焊接控制。直流伺服驱动用于提供精确的运动控制，确保焊接头的位置和速度均达到要求，从而保证焊接质量。,,,需要高精度的位移控制与稳定的速度控制。,,半导体设备,"直流伺服驱动, 直线滑台, 控制器",需要高精度的位移控制与稳定的速度控制。,某半导体厂商封装生产线
4,水平和垂直运动控制,3C设备,RGV,物流,,RGV（可编程导引车辆）主要用于自动化仓储和物流系统中，实现物料和货物在仓库中的搬运。直流伺服驱动用于控制RGV的水平和垂直方向运动，实现精准的路径跟踪和位置控制。,,,对速度、载荷及路径跟踪精度有要求，同时需考虑能源效率与可靠性。,,物流,"直流伺服驱动, 轮子, 控制器, 编码器",对速度、载荷及路径跟踪精度有要求，同时需考虑能源效率与可靠性。,某电商巨头物流中心的自动化仓储系统
5,ZR,,贴片机场景,半导体设备,,Z+R轴控制，大部分需要力控（软着陆）功能，要求高,"PLC或工控机
   Z轴1低压直流直线电机（音圈）+直线编码器+R轴1直流旋转电机+旋转编码器+2直流驱动器+部分需要力传感器做闭环",,"1、电机震动
   2、力控功能
   3、要求极低过冲或者无过冲
   4、高节拍
   5、覆盖多种压力控制范围
   6、弹簧补偿
   7、力控误差要求高", ,半导体设备,"PLC或工控机
   Z轴1低压直流直线电机（音圈）+直线编码器+R轴1直流旋转电机+旋转编码器+2直流驱动器+部分需要力传感器做闭环","1、电机震动
   2、力控功能
   3、要求极低过冲或者无过冲
   4、高节拍
   5、覆盖多种压力控制范围
   6、弹簧补偿
   7、力控误差要求高", 
6,按摩机器人,,协作机器人,消费类,,6轴机械臂，末端有按摩头,请咨询FAE部门,,"1. 振动抑制
2. 多轴同步响应",昊志,消费类,请咨询FAE部门,"1. 振动抑制
2. 多轴同步响应",昊志
7,机械手和平台运动控制,3C设备,笔记本电脑组装生产线,3C设备,,生产线中的机械手和运动平台需要精准地定位和操作，完成对各种笔记本电脑部件的组装。直流伺服驱动用于控制机械手臂的各轴和平台的移动，确保操作精度和效率。,,,需要对多轴协调运动的高精度、高响应及稳定性控制。,,3C设备,"直流伺服驱动, 机械手臂, 控制器, 编码器",需要对多轴协调运动的高精度、高响应及稳定性控制。,某电子厂用于笔记本电脑生产线
8,XY轴切割控制,制造业,玻璃切割设备,制造业,,玻璃切割设备用于切割玻璃板，各种形状的精密切割。直流伺服用于XY轴运动控制，保证切割头的精确路径和速度，确保切割的质量和精度。,,,对XY轴的高精度控制及稳定性要求较高，并需考虑切割速度与效率。,,制造业,"2个直流伺服驱动, 直线电机, 控制器, 直线编码器",对XY轴的高精度控制及稳定性要求较高，并需考虑切割速度与效率。,某玻璃厂用于智能家居玻璃面板生产
9,高度调整与保持,建筑设备,擦玻璃升降机,其他,,擦玻璃升降机用于高层建筑外墙清洗。直流伺服用于高度调整与保持控制，确保升降机在不同高度稳定工作，同时实现升降的平滑控制。,,,需考虑高度调整的精度、平滑及安全性，特别是应对风力和负荷变化的能力。,,,"直流伺服驱动, 升降机构, 控制器",需考虑高度调整的精度、平滑及安全性，特别是应对风力和负荷变化的能力。,某建筑清洁公司用于外墙清洁设备
