id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
b45241d70f0e43fca764df95b2b81f77,PYTHON 3.10-3.12,"SOFTWARE, VERSION","The Python programming language versions 3.10 to 3.12 are the supported and required versions for running and developing the GraphRAG system. These versions serve as the foundation for executing the library and its associated scripts, ensuring compatibility and optimal performance of the GraphRAG system.",0,,['4cf772ca8a1ffad729902e9b630e1ec0' '84d24b5db902baca7217b5e3bb6ec462'],"[ 0.05387061  0.00079517 -0.01745062 ... -0.00887034 -0.03218541
  0.02785086]"
4119fd06010c494caa07f439b333f4c5,POETRY,"SOFTWARE, TOOL","Poetry, a versatile package manager for Python projects, plays a crucial role in managing dependencies and virtual environments. It enables users to run the command-line interface (CLI) smoothly by setting up the required environment and installing necessary dependencies. This tool is indispensable for GraphRAG, as it facilitates the installation and management of dependencies, ensuring the project's seamless execution.",1,,['4cf772ca8a1ffad729902e9b630e1ec0' 'b0505e11596cadd9890fef049c29473c'],"[ 0.03598293  0.0058315  -0.01374399 ... -0.00311136 -0.00045949
  0.01299622]"
d3835bf3dda84ead99deadbeac5d0d7d,AZURITE,"SOFTWARE, EMULATOR","Azurite is an emulator for Azure resources, used in unit and smoke tests to simulate Azure environments for testing purposes.",2,,['4cf772ca8a1ffad729902e9b630e1ec0'],"[ 0.00274721  0.0070368  -0.00861453 ... -0.01325784 -0.00820657
  0.03066722]"
077d2820ae1845bcbb1803379a3d1eae,INDEXING ENGINE,"SOFTWARE, ENGINE",The Indexing Engine is a component of GraphRAG that can be executed using Poetry to process and index data for the graph database.,3,,['4cf772ca8a1ffad729902e9b630e1ec0'],"[-0.02380327 -0.00200924 -0.01421209 ... -0.02415464  0.02539852
 -0.00215737]"
3671ea0dd4e84c1a9b02c5ab2c8f4bac,QUERY ENGINE,"SOFTWARE, ENGINE","The Query Engine is a pivotal component of the GraphRAG system, serving as the retrieval module within the Graph RAG Library. It operates in tandem with the Indexing Pipeline, forming one of the two main components of the library. The Engine is designed to facilitate the querying of the graph database, enabling users to ask questions and retrieve information from the indexed data through various methods. It supports Global search for high-level questions, which is resource-intensive but provides comprehensive responses by understanding the dataset as a whole, and Local search for more specific inquiries, which is suitable for questions requiring an understanding of specific entities mentioned in the documents. The Engine combines relevant data from the AI-extracted knowledge-graph with text chunks of the raw documents and searches over all AI-generated community reports in a map-reduce fashion to generate answers. Additionally, it features question generation functionality, which is beneficial for creating follow-up questions in a conversation or for generating a list of questions to help investigators delve deeper into the dataset. The Query Engine can be executed using Poetry, enhancing its usability and flexibility in querying the graph database.",4,,"['4cf772ca8a1ffad729902e9b630e1ec0' '7c1bad237a1ef86cb41b6c5dbad4ffc3'
 'f8cf53ce98a8bc52581f7907ad98ef70']","[ 0.00931099  0.02480169 -0.00626694 ... -0.04054927 -0.01123014
  0.02734928]"
19a7f254a5d64566ab5cc15472df02de,LIFECYCLE SCRIPTS,"SOFTWARE, SCRIPTS","Lifecycle Scripts are a set of scripts managed by Poetry and poethepoet, used for various tasks such as building, testing, and executing the GraphRAG package.",5,,['4cf772ca8a1ffad729902e9b630e1ec0'],"[ 0.01815265 -0.01357458 -0.00472059 ... -0.01955523  0.03126961
  0.0109931 ]"
e7ffaee9d31d4d3c96e04f911d0a8f9e,UNIT AND SMOKE TESTS,,,6,,['4cf772ca8a1ffad729902e9b630e1ec0'],"[ 0.03679015 -0.01040786 -0.00705258 ...  0.03909829  0.02631698
  0.01682895]"
f7e11b0e297a44a896dc67928368f600,CLI,"COMMAND, TOOL","CLI, or Command Line Interface, is a versatile tool enabling users to interact with software by inputting text commands. Specifically, in the context provided, CLI serves as the interface for executing tasks using the poetry tool. This tool facilitates the operation of a pipeline by allowing users to provide commands and arguments. It can be seamlessly integrated with a Config File, either in default or custom config mode, to enhance its functionality. Depending on the user's environment, the CLI can be accessed through either Poetry or Node, offering flexibility in usage.",7,,['563caa38fe33c495449888d62950b959' 'b0505e11596cadd9890fef049c29473c'],"[-0.00189303 -0.01444735  0.01549449 ... -0.00637752  0.00621518
  0.00154714]"
1fd3fa8bb5a2408790042ab9573779ee,POETRY RUN POE QUERY,"COMMAND, TOOL","poetry run poe query is a command used to run the Query CLI, which allows for executing queries through the command line interface.",8,,['563caa38fe33c495449888d62950b959'],"[ 0.0154725  -0.01258719 -0.00351024 ... -0.01584766  0.01006138
 -0.00675125]"
27f9fbe6ad8c4a8b9acee0d3596ed57c,POETRY BUILD,"COMMAND, TOOL","poetry build is a command that invokes the build process, creating a wheel file and other distributable artifacts for the package.",9,,['563caa38fe33c495449888d62950b959'],"[-0.00078879 -0.00915426 -0.0455677  ... -0.02824374  0.02638447
  0.01357066]"
