level,title,type,description,source_id,community,degree,human_readable_id,id,size,graph_embedding,entity_type,top_level_node_id,x,y
0,PYTHON 3.10-3.12,"SOFTWARE, VERSION","The Python programming language versions 3.10 to 3.12 are the supported and required versions for running and developing the GraphRAG system. These versions serve as the foundation for executing the library and its associated scripts, ensuring compatibility and optimal performance of the GraphRAG system.","4cf772ca8a1ffad729902e9b630e1ec0,84d24b5db902baca7217b5e3bb6ec462",14,2,0,b45241d70f0e43fca764df95b2b81f77,2,,,b45241d70f0e43fca764df95b2b81f77,0,0
0,POETRY,"SOFTWARE, TOOL","Poetry, a versatile package manager for Python projects, plays a crucial role in managing dependencies and virtual environments. It enables users to run the command-line interface (CLI) smoothly by setting up the required environment and installing necessary dependencies. This tool is indispensable for GraphRAG, as it facilitates the installation and management of dependencies, ensuring the project's seamless execution.","4cf772ca8a1ffad729902e9b630e1ec0,b0505e11596cadd9890fef049c29473c",14,4,1,4119fd06010c494caa07f439b333f4c5,4,,,4119fd06010c494caa07f439b333f4c5,0,0
0,AZURITE,"SOFTWARE, EMULATOR","Azurite is an emulator for Azure resources, used in unit and smoke tests to simulate Azure environments for testing purposes.",4cf772ca8a1ffad729902e9b630e1ec0,,1,2,d3835bf3dda84ead99deadbeac5d0d7d,1,,,d3835bf3dda84ead99deadbeac5d0d7d,0,0
0,INDEXING ENGINE,"SOFTWARE, ENGINE",The Indexing Engine is a component of GraphRAG that can be executed using Poetry to process and index data for the graph database.,4cf772ca8a1ffad729902e9b630e1ec0,14,1,3,077d2820ae1845bcbb1803379a3d1eae,1,,,077d2820ae1845bcbb1803379a3d1eae,0,0
0,QUERY ENGINE,"SOFTWARE, ENGINE","The Query Engine is a pivotal component of the GraphRAG system, serving as the retrieval module within the Graph RAG Library. It operates in tandem with the Indexing Pipeline, forming one of the two main components of the library. The Engine is designed to facilitate the querying of the graph database, enabling users to ask questions and retrieve information from the indexed data through various methods. It supports Global search for high-level questions, which is resource-intensive but provides comprehensive responses by understanding the dataset as a whole, and Local search for more specific inquiries, which is suitable for questions requiring an understanding of specific entities mentioned in the documents. The Engine combines relevant data from the AI-extracted knowledge-graph with text chunks of the raw documents and searches over all AI-generated community reports in a map-reduce fashion to generate answers. Additionally, it features question generation functionality, which is beneficial for creating follow-up questions in a conversation or for generating a list of questions to help investigators delve deeper into the dataset. The Query Engine can be executed using Poetry, enhancing its usability and flexibility in querying the graph database.","4cf772ca8a1ffad729902e9b630e1ec0,7c1bad237a1ef86cb41b6c5dbad4ffc3,f8cf53ce98a8bc52581f7907ad98ef70",1,6,4,3671ea0dd4e84c1a9b02c5ab2c8f4bac,6,,,3671ea0dd4e84c1a9b02c5ab2c8f4bac,0,0
0,LIFECYCLE SCRIPTS,"SOFTWARE, SCRIPTS","Lifecycle Scripts are a set of scripts managed by Poetry and poethepoet, used for various tasks such as building, testing, and executing the GraphRAG package.",4cf772ca8a1ffad729902e9b630e1ec0,14,1,5,19a7f254a5d64566ab5cc15472df02de,1,,,19a7f254a5d64566ab5cc15472df02de,0,0
0,UNIT AND SMOKE TESTS,,,4cf772ca8a1ffad729902e9b630e1ec0,,1,6,e7ffaee9d31d4d3c96e04f911d0a8f9e,1,,,e7ffaee9d31d4d3c96e04f911d0a8f9e,0,0
0,CLI,"COMMAND, TOOL","CLI, or Command Line Interface, is a versatile tool enabling users to interact with software by inputting text commands. Specifically, in the context provided, CLI serves as the interface for executing tasks using the poetry tool. This tool facilitates the operation of a pipeline by allowing users to provide commands and arguments. It can be seamlessly integrated with a Config File, either in default or custom config mode, to enhance its functionality. Depending on the user's environment, the CLI can be accessed through either Poetry or Node, offering flexibility in usage.","563caa38fe33c495449888d62950b959,b0505e11596cadd9890fef049c29473c",,11,7,f7e11b0e297a44a896dc67928368f600,11,,,f7e11b0e297a44a896dc67928368f600,0,0
0,POETRY RUN POE QUERY,"COMMAND, TOOL","poetry run poe query is a command used to run the Query CLI, which allows for executing queries through the command line interface.",563caa38fe33c495449888d62950b959,,1,8,1fd3fa8bb5a2408790042ab9573779ee,1,,,1fd3fa8bb5a2408790042ab9573779ee,0,0
0,POETRY BUILD,"COMMAND, TOOL","poetry build is a command that invokes the build process, creating a wheel file and other distributable artifacts for the package.",563caa38fe33c495449888d62950b959,,1,9,27f9fbe6ad8c4a8b9acee0d3596ed57c,1,,,27f9fbe6ad8c4a8b9acee0d3596ed57c,0,0
0,POETRY RUN POE TEST,"COMMAND, TOOL","poetry run poe test is a command that executes all tests for the package, ensuring its functionality and integrity.",563caa38fe33c495449888d62950b959,,1,10,e1fd0e904a53409aada44442f23a51cb,1,,,e1fd0e904a53409aada44442f23a51cb,0,0
0,POETRY RUN POE TEST_UNIT,"COMMAND, TOOL","poetry run poe test_unit is a command that specifically executes unit tests, which are tests that verify the correctness of individual units of code.",563caa38fe33c495449888d62950b959,,1,11,de988724cfdf45cebfba3b13c43ceede,1,,,de988724cfdf45cebfba3b13c43ceede,0,0
0,POETRY RUN POE TEST_INTEGRATION,"COMMAND, TOOL","poetry run poe test_integration is a command that executes integration tests, which are tests that verify the interaction between different parts of the system.",563caa38fe33c495449888d62950b959,,1,12,96aad7cb4b7d40e9b7e13b94a67af206,1,,,96aad7cb4b7d40e9b7e13b94a67af206,0,0
0,POETRY RUN POE TEST_SMOKE,"COMMAND, TOOL","poetry run poe test_smoke is a command that executes smoke tests, which are a preliminary set of tests to ensure that the system is in a stable state before more extensive testing.",563caa38fe33c495449888d62950b959,,1,13,c9632a35146940c2a86167c7726d35e9,1,,,c9632a35146940c2a86167c7726d35e9,0,0
0,POETRY RUN POE CHECK,"COMMAND, TOOL","poe check is a command that performs a suite of static checks across the package, including formatting, documentation formatting, linting, security patterns, and type-checking.",563caa38fe33c495449888d62950b959,,1,14,9646481f66ce4fd2b08c2eddda42fc82,1,,,9646481f66ce4fd2b08c2eddda42fc82,0,0
