source,target,weight,description,text_unit_ids,id,human_readable_id,source_degree,target_degree,rank
PYTHON 3.10-3.12,POETRY,1.0,"Python 3.10-3.12 is the environment in which Poetry operates, providing the necessary runtime for executing Poetry commands and managing dependencies for GraphRAG",['4cf772ca8a1ffad729902e9b630e1ec0'],a87aa935dccf49cd98b40fb5afe7ad5c,0,2,4,6
PYTHON 3.10-3.12,GRAPHRAG SYSTEM,1.0,"The GraphRAG system is compatible with Python versions 3.10 to 3.12, which are the supported versions for running the system",['84d24b5db902baca7217b5e3bb6ec462'],36870a3393f6413e9bf647168eb6977a,1,2,4,6
POETRY,INDEXING ENGINE,1.0,"Poetry is used to execute the Indexing Engine, which is a part of GraphRAG, by running the 'poe index' command",['4cf772ca8a1ffad729902e9b630e1ec0'],4fe3ff52700c491f8cc650aadb4d7cb0,2,4,1,5
POETRY,QUERY ENGINE,1.0,"Poetry is used to execute the Query Engine, which is a part of GraphRAG, by running the 'poe query' command",['4cf772ca8a1ffad729902e9b630e1ec0'],f1f6f6435a444e388d67e16e847afca6,3,4,6,10
POETRY,LIFECYCLE SCRIPTS,1.0,"Poetry is used to manage and execute the Lifecycle Scripts, which are essential for building, testing, and executing the GraphRAG package",['4cf772ca8a1ffad729902e9b630e1ec0'],0af2ca1c090843ea92679fd14c1fbc9a,4,4,1,5
AZURITE,UNIT AND SMOKE TESTS,1.0,"Azurite is used in unit and smoke tests to emulate Azure resources, providing a testing environment for GraphRAG",['4cf772ca8a1ffad729902e9b630e1ec0'],1b06d3e53ffd4771952fbef04d1e666c,5,1,1,2
QUERY ENGINE,INDEXING PIPELINE,1.0,"The Query Engine and the Indexing Pipeline are related as they are the two main components of the Graph RAG library, working together to process and retrieve information. The Indexing Pipeline prepares data for the Query Engine to perform searches and generate answers",['f8cf53ce98a8bc52581f7907ad98ef70'],b8e966b34cba4b11b9995106767212ba,6,6,4,10
QUERY ENGINE,LOCAL SEARCH,1.0,The Query Engine uses the Local Search method to generate answers by combining relevant data from the AI-extracted knowledge-graph with text chunks of the raw documents. This method is suitable for questions that require an understanding of specific entities mentioned in the documents,['f8cf53ce98a8bc52581f7907ad98ef70'],f6de923de6474d2cab6a9c2f0d81fa59,7,6,7,13
QUERY ENGINE,GLOBAL SEARCH,1.0,The Query Engine uses the Global Search method to generate answers by searching over all AI-generated community reports in a map-reduce fashion. This method is resource-intensive but gives good responses for questions that require an understanding of the dataset as a whole,['f8cf53ce98a8bc52581f7907ad98ef70'],6915637e8d124fdc8473111d501e3703,8,6,5,11
QUERY ENGINE,QUESTION GENERATION,1.0,The Query Engine uses the Question Generation functionality to take a list of user queries and generate the next candidate questions. This is useful for generating follow-up questions in a conversation or for generating a list of questions for the investigator to dive deeper into the dataset,['f8cf53ce98a8bc52581f7907ad98ef70'],2233f31929194eac89333ce8731a5584,9,6,11,17
QUERY ENGINE,CLI DOCUMENTATION,1.0,"The CLI documentation is related to the Query Engine, as it provides guidance on how to use the command-line interface to run queries against the indexed data, including examples of different query methods.",['7c1bad237a1ef86cb41b6c5dbad4ffc3'],61f1dc4267314470ac820b6a46c61f7b,10,6,2,8
