id,text,n_tokens,document_ids,entity_ids,relationship_ids
4cf772ca8a1ffad729902e9b630e1ec0,"Developing GraphRAG
Requirements
Name	Installation	Purpose
Python 3.10-3.12	Download	The library is Python-based.
Poetry	Instructions	Poetry is used for package management and virtualenv management in Python codebases
Getting Started
Install Dependencies
# Install Python dependencies.
poetry install

Execute the Indexing Engine
poetry run poe index <...args>

Executing Queries
poetry run poe query <...args>

Azurite
Some unit and smoke tests use Azurite to emulate Azure resources. This can be started by running:

./scripts/start-azurite.sh

or by simply running azurite in the terminal if already installed globally. See the Azurite documentation for more information about how to install and use Azurite.

Lifecycle Scripts
Our Python package utilizes Poetry to manage dependencies and poethepoet to manage build scripts.

Available scripts are:

poetry run poe index - Run the Indexing CLI
poetry run poe query - Run the Query CLI
poetry build - This invokes poetry build, which will build a wheel file and other distributable artifacts.
poetry run poe test - This will execute all tests.
poetry run poe test_unit - This will execute unit tests.
poetry run poe test_integration - This will execute integration tests.
poetry run poe test_smoke - This will execute smoke tests.
poetry run poe check - This will",300,['1360b438089091252bb82ed740bce5a6'],"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '19a7f254a5d64566ab5cc15472df02de'
 'e7ffaee9d31d4d3c96e04f911d0a8f9e']","['a87aa935dccf49cd98b40fb5afe7ad5c' '4fe3ff52700c491f8cc650aadb4d7cb0'
 'f1f6f6435a444e388d67e16e847afca6' '0af2ca1c090843ea92679fd14c1fbc9a'
 '1b06d3e53ffd4771952fbef04d1e666c']"
563caa38fe33c495449888d62950b959," CLI
poetry run poe query - Run the Query CLI
poetry build - This invokes poetry build, which will build a wheel file and other distributable artifacts.
poetry run poe test - This will execute all tests.
poetry run poe test_unit - This will execute unit tests.
poetry run poe test_integration - This will execute integration tests.
poetry run poe test_smoke - This will execute smoke tests.
poetry run poe check - This will perform a suite of static checks across the package, including:
formatting
documentation formatting
linting
security patterns
type-checking
poetry run poe fix - This will apply any available auto-fixes to the package. Usually this is just formatting fixes.
poetry run poe fix_unsafe - This will apply any available auto-fixes to the package, including those that may be unsafe.
poetry run poe format - Explicitly run the formatter across the package.
Troubleshooting
""RuntimeError: llvm-config failed executing, please point LLVM_CONFIG to the path for llvm-config"" when running poetry install
Make sure llvm-9 and llvm-9-dev are installed:

sudo apt-get install llvm-9 llvm-9-dev

and then in your bashrc, add

export LLVM_CONFIG=/usr/bin/llvm-config-9

""numba/_pymodule.h:6:10: fatal error: Python.h: No such file or directory"" when running",300,['1360b438089091252bb82ed740bce5a6'],"['f7e11b0e297a44a896dc67928368f600' '1fd3fa8bb5a2408790042ab9573779ee'
 '27f9fbe6ad8c4a8b9acee0d3596ed57c' 'e1fd0e904a53409aada44442f23a51cb'
 'de988724cfdf45cebfba3b13c43ceede' '96aad7cb4b7d40e9b7e13b94a67af206'
 'c9632a35146940c2a86167c7726d35e9' '9646481f66ce4fd2b08c2eddda42fc82'
 'd91a266f766b4737a06b0fda588ba40b' 'bc0e3f075a4c4ebbb7c7b152b65a5625'
 '254770028d7a4fa9877da4ba0ad5ad21' '4a67211867e5464ba45126315a122a8a']","['f0c578614b224345974c3e4c110878af' '7ffb88ebc729492c897ccfb569d7f6d0'
 '60dce7d8bc1b4729a038178a400b9a59' '4cbb4e238c5b4656803fb9b4b6c3512e'
 '652873bcd6d5432187e5deafc4fc5211' '78f9b30c08134ac5abb4f4e0bff0f7f2'
 'f33e4e897b1e422bb516e8a2c941d9dc' 'fac4e1553a9840e990bbfff46e64ff27'
 '029a55d327ee4fb3a8314b36d52bdf34' '5a636c894c384532bff66212cf9d5824'
 'a9c468ef78704e9aabfc0317a5b1b42d']"
0dc1f5e4f8fb5903f12acf8e141fb205,"leshooting
""RuntimeError: llvm-config failed executing, please point LLVM_CONFIG to the path for llvm-config"" when running poetry install
Make sure llvm-9 and llvm-9-dev are installed:

sudo apt-get install llvm-9 llvm-9-dev

and then in your bashrc, add

export LLVM_CONFIG=/usr/bin/llvm-config-9

""numba/_pymodule.h:6:10: fatal error: Python.h: No such file or directory"" when running poetry install
Make sure you have python3.10-dev installed or more generally python<version>-dev

sudo apt-get install python3.10-dev

LLM call constantly exceeds TPM, RPM or time limits
GRAPHRAG_LLM_THREAD_COUNT and GRAPHRAG_EMBEDDING_THREAD_COUNT are both set to 50 by default. You can modify this values to reduce concurrency. Please refer to the Configuration Documents",187,['1360b438089091252bb82ed740bce5a6'],"['04dbbb2283b845baaeac0eaf0c34c9da' '1943f245ee4243bdbfbd2fd619ae824a'
 '273daeec8cad41e6b3e450447db58ee7' 'e69dc259edb944ea9ea41264b9fcfe59'
 'e2f5735c7d714423a2c4f61ca2644626' 'deece7e64b2a4628850d4bb6e394a9c3'
 'e657b5121ff8456b9a610cfaead8e0cb' 'bf4e255cdac94ccc83a56435a5e4b075'
 '3b040bcc19f14e04880ae52881a89c1c']","['5df80c25d33a4d148a14aa614343cc6b' '6a87f06ed55a46f29b24f77e548a3f1d'
 '0daf88ac4ec94cbb868e27e956c6d7f1' '9ed120043e6247be9965e4904920991b'
 '94d81d7de9254ae4b3b16fcc69aa22ea' '60c9212246f84ae5b6ab254127a39262'
 '0f8d0c36a4274526a9eddedae5e63881']"
e6fa3bdaf65c92df6b3430f02804321a,"Welcome to GraphRAG
👉 Microsoft Research Blog Post
👉 GraphRAG Accelerator
👉 GitHub Repository
👉 GraphRAG Arxiv

Figure 1: LLM-generated knowledge graph built from a private dataset using GPT-4 Turbo.

Figure 1: An LLM-generated knowledge graph built using GPT-4 Turbo.

GraphRAG is a structured, hierarchical approach to Retrieval Augmented Generation (RAG), as opposed to naive semantic-search approaches using plain text snippets. The GraphRAG process involves extracting a knowledge graph out of raw text, building a community hierarchy, generating summaries for these communities, and then leveraging these structures when perform RAG-based tasks.

To learn more about GraphRAG and how it can be used to enhance your LLMs ability to reason about your private data, please visit the Microsoft Research Blog Post.

Solution Accelerator 🚀
To quickstart the GraphRAG system we recommend trying the Solution Accelerator package. This provides a user-friendly end-to-end experience with Azure resources.

Get Started with GraphRAG 🚀
To start using GraphRAG, check out the Get Started guide. For a deeper dive into the main sub-systems, please visit the docpages for the Indexer and Query packages.

GraphRAG vs Baseline RAG 🔍
Retrieval-Augmented Generation (RAG) is a technique to improve LLM outputs using real-world information.",300,['150280be206221851ba72cf9f14d5667'],"['3d6b216c14354332b1bf1927ba168986' '1c109cfdc370463eb6d537e5b7b382fb'
 '3d0dcbc8971b415ea18065edc4d8c8ef' '68105770b523412388424d984e711917'
 '85c79fd84f5e4f918471c386852204c5' 'eae4259b19a741ab9f9f6af18c4a0470'
 '3138f39f2bcd43a69e0697cd3b05bc4d' 'dde131ab575d44dbb55289a6972be18f'
 'de9e343f2e334d88a8ac7f8813a915e5']","['f1a65d05dd5d456b889217020475ef80' 'c077d92b48b6477db91e1a0460600f52'
 '5ca888df9b884e54accdd2ff29d125c1' '8290a6212d6c4430ae0056c7e8eccd5f'
 '14f8ac195fdb4e06a0b9ebc6ef391180' '667ee58a79194316ae2b82eadd3fc575'
 'b0e3ee2324054c88adacdf80db13278f' '28b7457ca5dc4a38a488946a3f8e207e']"
32603b739bed06b4695b0cc3915b2c4b," Solution Accelerator package. This provides a user-friendly end-to-end experience with Azure resources.

Get Started with GraphRAG 🚀
To start using GraphRAG, check out the Get Started guide. For a deeper dive into the main sub-systems, please visit the docpages for the Indexer and Query packages.

GraphRAG vs Baseline RAG 🔍
Retrieval-Augmented Generation (RAG) is a technique to improve LLM outputs using real-world information. This technique is an important part of most LLM-based tools and the majority of RAG approaches use vector similarity as the search technique, which we call Baseline RAG. GraphRAG uses knowledge graphs to provide substantial improvements in question-and-answer performance when reasoning about complex information. RAG techniques have shown promise in helping LLMs to reason about private datasets - data that the LLM is not trained on and has never seen before, such as an enterprise’s proprietary research, business documents, or communications. Baseline RAG was created to help solve this problem, but we observe situations where baseline RAG performs very poorly. For example:

Baseline RAG struggles to connect the dots. This happens when answering a question requires traversing disparate pieces of information through their shared attributes in order to provide new synthesized insights.
Baseline RAG performs poorly when being asked to holistically understand summarized semantic concepts over large data collections or even singular large documents.
To address this, the tech community is working to develop methods",300,['150280be206221851ba72cf9f14d5667'],"['3d6b216c14354332b1bf1927ba168986' '3138f39f2bcd43a69e0697cd3b05bc4d'
 'dde131ab575d44dbb55289a6972be18f' 'de9e343f2e334d88a8ac7f8813a915e5'
 'e2bf260115514fb3b252fd879fb3e7be' 'b462b94ce47a4b8c8fffa33f7242acec']","['667ee58a79194316ae2b82eadd3fc575' 'b0e3ee2324054c88adacdf80db13278f'
 '28b7457ca5dc4a38a488946a3f8e207e' '8029a14d15404e6db95ddf5e2bf9fc15'
 '389314ca89d445888c8d4985864dd733']"
d441b136505c273cf3577b6867e872e4," communications. Baseline RAG was created to help solve this problem, but we observe situations where baseline RAG performs very poorly. For example:

Baseline RAG struggles to connect the dots. This happens when answering a question requires traversing disparate pieces of information through their shared attributes in order to provide new synthesized insights.
Baseline RAG performs poorly when being asked to holistically understand summarized semantic concepts over large data collections or even singular large documents.
To address this, the tech community is working to develop methods that extend and enhance RAG. Microsoft Research’s new approach, GraphRAG, uses LLMs to create a knowledge graph based on an input corpus. This graph, along with community summaries and graph machine learning outputs, are used to augment prompts at query time. GraphRAG shows substantial improvement in answering the two classes of questions described above, demonstrating intelligence or mastery that outperforms other approaches previously applied to private datasets.

The GraphRAG Process 🤖
GraphRAG builds upon our prior research and tooling using graph machine learning. The basic steps of the GraphRAG process are as follows:

Index
Slice up an input corpus into a series of TextUnits, which act as analyzable units for the rest of the process, and provide fine-grained references into our outputs.
Extract all entities, relationships, and key claims from the TextUnits using an LLM.
Perform a hierarchical clustering of the graph using the Leiden technique. To see this visually, check out",300,['150280be206221851ba72cf9f14d5667'],"['3d6b216c14354332b1bf1927ba168986' 'b462b94ce47a4b8c8fffa33f7242acec'
 '17ed1d92075643579a712cc6c29e8ddb' '3ce7c210a21b4deebad7cc9308148d86']","['389314ca89d445888c8d4985864dd733' '87fe1462b9064d5692641ab48e826301'
 'a55175ac57014df696ca09d0def9604b']"
369b39fdfd649d6df32a5d7b4cc559b7," our prior research and tooling using graph machine learning. The basic steps of the GraphRAG process are as follows:

Index
Slice up an input corpus into a series of TextUnits, which act as analyzable units for the rest of the process, and provide fine-grained references into our outputs.
Extract all entities, relationships, and key claims from the TextUnits using an LLM.
Perform a hierarchical clustering of the graph using the Leiden technique. To see this visually, check out Figure 1 above. Each circle is an entity (e.g., a person, place, or organization), with the size representing the degree of the entity, and the color representing its community.
Generate summaries of each community and its constituents from the bottom-up. This aids in holistic understanding of the dataset.
Query
At query time, these structures are used to provide materials for the LLM context window when answering a question. The primary query modes are:

Global Search for reasoning about holistic questions about the corpus by leveraging the community summaries.
Local Search for reasoning about specific entities by fanning-out to their neighbors and associated concepts.
Prompt Tuning
Using GraphRAG with your data out of the box may not yield the best possible results. We strongly recommend to fine-tune your prompts following the Prompt Tuning Guide in our documentation.",267,['150280be206221851ba72cf9f14d5667'],"['3d6b216c14354332b1bf1927ba168986' '3ce7c210a21b4deebad7cc9308148d86'
 'd64ed762ea924caa95c8d06f072a9a96' 'adf4ee3fbe9b4d0381044838c4f889c8'
 '32ee140946e5461f9275db664dc541a5' 'c160b9cb27d6408ba6ab20214a2f3f81'
 '23527cd679ff4d5a988d52e7cd056078' 'f1c6eed066f24cbdb376b910fce29ed4']","['a55175ac57014df696ca09d0def9604b' '1766e8858d7b45ed97f71cb5a39e96ea'
 '6191e014f3f64e46a0777063ed4ac19a' '21b0499cf14342269c46170c291d0535'
 'c1ef05b38b3f4d59888150fc0dd26826' '74cb9b3510e84498b9aee0d904316e8b'
 '043d764b2e1b4d1294651ff938df5391']"
849698743b07680402ff8572b1c6c469," corpus by leveraging the community summaries.
Local Search for reasoning about specific entities by fanning-out to their neighbors and associated concepts.
Prompt Tuning
Using GraphRAG with your data out of the box may not yield the best possible results. We strongly recommend to fine-tune your prompts following the Prompt Tuning Guide in our documentation.",67,['150280be206221851ba72cf9f14d5667'],"['3d6b216c14354332b1bf1927ba168986' '32ee140946e5461f9275db664dc541a5'
 '23527cd679ff4d5a988d52e7cd056078' 'f1c6eed066f24cbdb376b910fce29ed4'
 '83a6cb03df6b41d8ad6ee5f6fef5f024']","['74cb9b3510e84498b9aee0d904316e8b' '043d764b2e1b4d1294651ff938df5391'
 'c7e8b188b45841a0a1bcb22f3445ea6e']"
f8cf53ce98a8bc52581f7907ad98ef70,"Query Engine 🔎
The Query Engine is the retrieval module of the Graph RAG Library. It is one of the two main components of the Graph RAG library, the other being the Indexing Pipeline (see Indexing Pipeline). It is responsible for the following tasks:

Local Search
Global Search
Question Generation
Local Search
Local search method generates answers by combining relevant data from the AI-extracted knowledge-graph with text chunks of the raw documents. This method is suitable for questions that require an understanding of specific entities mentioned in the documents (e.g. What are the healing properties of chamomile?).

For more details about how Local Search works please refer to the Local Search documentation.

Global Search
Global search method generates answers by searching over all AI-generated community reports in a map-reduce fashion. This is a resource-intensive method, but often gives good responses for questions that require an understanding of the dataset as a whole (e.g. What are the most significant values of the herbs mentioned in this notebook?).

More about this can be checked at the Global Search documentation.

Question Generation
This functionality takes a list of user queries and generates the next candidate questions. This is useful for generating follow-up questions in a conversation or for generating a list of questions for the investigator to dive deeper into the dataset.

Information about how question generation works can be found at the Question Generation documentation page.

Local Search 🔎
Entity-based Reasoning
The local search method combines structured data from the knowledge graph",300,['217bd625ebb21f3343be31530abac558'],"['3671ea0dd4e84c1a9b02c5ab2c8f4bac' 'c160b9cb27d6408ba6ab20214a2f3f81'
 '23527cd679ff4d5a988d52e7cd056078' '147c038aef3e4422acbbc5f7938c4ab8'
 'b7702b90c7f24190b864e8c6e64612a5']","['b8e966b34cba4b11b9995106767212ba' 'f6de923de6474d2cab6a9c2f0d81fa59'
 '6915637e8d124fdc8473111d501e3703' '2233f31929194eac89333ce8731a5584']"
364624242a84e1859e758069d914d8c8," in this notebook?).

More about this can be checked at the Global Search documentation.

Question Generation
This functionality takes a list of user queries and generates the next candidate questions. This is useful for generating follow-up questions in a conversation or for generating a list of questions for the investigator to dive deeper into the dataset.

Information about how question generation works can be found at the Question Generation documentation page.

Local Search 🔎
Entity-based Reasoning
The local search method combines structured data from the knowledge graph with unstructured data from the input documents to augment the LLM context with relevant entity information at query time. It is well-suited for answering questions that require an understanding of specific entities mentioned in the input documents (e.g., “What are the healing properties of chamomile?”).

Methodology
Entity
Description
Embedding
Entity-Text
Unit Mapping
Ranking +
Filtering
Entity-Report
Mapping
Ranking +
Filtering
Entity-Entity
Relationships
Ranking +
Filtering
Entity-Entity
Relationships
Ranking +
Filtering
Entity-Covariate
Mappings
Ranking +
Filtering
User Query
.1
Conversation
History
Extracted Entities
.2
Candidate
Text Units
Prioritized
Text Units
.3
Candidate
Community Reports
Prioritized
Community Reports
Candidate
Entities
Prioritized
Entities
Candidate
Relationships
Prioritized
Relationships
Candidate
Covariates",300,['217bd625ebb21f3343be31530abac558'],"['23527cd679ff4d5a988d52e7cd056078' 'b7702b90c7f24190b864e8c6e64612a5'
 'de6fa24480894518ab3cbcb66f739266' '6fae5ee1a831468aa585a1ea09095998'
 'ef32c4b208d041cc856f6837915dc1b0' '07b2425216bd4f0aa4e079827cb48ef5'
 '2670deebfa3f4d69bb82c28ab250a209' '404309e89a5241d6bff42c05a45df206'
 'b785a9025069417f94950ad231bb1441' '3b6cd96a27304614850709aba1c9598b']","['bbf4007dc9c0486b8ea76d616045467a' '9535f4d754044e128cd3951a9d2e3702'
 '93b4aa6ce6e44123a861d4c3b3d509a2' '344417f626ef4da4be4539ef4037bf3f'
 '8b1fff87c350475fb1d411a26c3c5b0c' '898a9458adfb4c13a1eafacf6a1068f6'
 '5448f05781de44ea96e3dea40b285842' '76b1e69904b84d09ba05c4b7efc48f32']"
