id,chunk,chunk_id,document_ids,n_tokens
6a6b204fca456cc0d7497c7446519292,"'Unnamed: 0': '98'
'场景名称：请具体到一个工位、动作或功能': '医美机器人'
'行业': '协作机器人'
'应用/装备名称': '医美机器人'
'行业：请填写该场景对应的行业名称': '其他'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '医美机器人用于美容手术，通过多轴直流伺服驱动实现精准操作和灵活控制。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高精度、柔性、安全性'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': 'nan'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '伺服电机、传感器、控制系统'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '高精度、柔性、安全性'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '激光美容机器人'",6a6b204fca456cc0d7497c7446519292,['00c63fe66bdcdb26a99251a0977a2f60'],503
588823a50fa2ae7eea9383df183d8a98,"'Unnamed: 0': '12'
'场景名称：请具体到一个工位、动作或功能': '搭载到车上，跟踪定位、执行旋转 和俯仰的动作'
'行业': 'nan'
'应用/装备名称': '卫星转台'
'行业：请填写该场景对应的行业名称': '其他'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': '军工设备'
'场景与方案概述：请简述该场景下的目的和动作': '为了精确的跟踪定位，主要由两个动作组成，旋转和俯仰'
'部件组合：为完成该场景目标动作所需的所有部件': '主控制板，客户自己研发的
旋转轴 驱动器+减速机+编码器+电机
俯仰轴 驱动器+减速机+编码器+电机'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '1、客户本身要求是要用脉冲进行速度控制
2、客户的设备会再不同的温度下进行，低温下会造成运动阻力大，摩擦大的情况，增益可能要重新配置。
3、客户控制源为脉冲，会有丢脉冲的可能性，客户主站自己做了位置闭环的PID'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': '无项目名称、、但是可以提供支持记录https://motiong.feishu.cn/wiki/SGmmwuE2sifQAEkgFkdcc7dYnOg'
'行业：请填写该场景对应的行业名称 Copy': '其他'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '主控制板，客户自己研发的
旋转轴 驱动器+减速机+编码器+电机
俯仰轴 驱动器+减速机+编码器+电机'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '1、客户本身要求是要用脉冲进行速度控制
2、客户的设备会再不同的温度下进行，低温下会造成运动阻力大，摩擦大的情况，增益可能要重新配置。
3、客户控制源为脉冲，会有丢脉冲的可能性，客户主站自己做了位置闭环的PID'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '无项目名称、、但是可以提供支持记录https://motiong.feishu.cn/wiki/SGmmwuE2sifQAEkgFkdcc7dYnOg'",588823a50fa2ae7eea9383df183d8a98,['0578cef378ec6ceccc9380bd2a67b600'],908
abe4f205eda50d06d6f8dd7b025f59c7,"'Unnamed: 0': '129'
'场景名称：请具体到一个工位、动作或功能': '自动化农业喷灌系统'
'行业': '农业'
'应用/装备名称': '喷灌设备'
'行业：请填写该场景对应的行业名称': '农业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '农业喷灌系统需要精确地控制水流和喷头的位置。目的：提高灌溉效率和农作物生产率。该场景涉及X、Y轴的平面运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高精度、高效率的运动控制和抗恶劣环境的能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '农业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、喷头、管道系统、编码器、工业控制器、伺服驱动器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高精度、高效率的运动控制和抗恶劣环境的能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某大型农业种植企业的自动化喷灌系统应用案例'",abe4f205eda50d06d6f8dd7b025f59c7,['0a8b861815452d73c59459b87b00f4ae'],599
b4b2ecf75d1aad0ccc5d6f76a00fe3b9,"'Unnamed: 0': '131'
'场景名称：请具体到一个工位、动作或功能': '自动化喷涂生产线'
'行业': '制造业'
'应用/装备名称': '喷涂设备'
'行业：请填写该场景对应的行业名称': '制造业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '喷涂生产线需要精确地控制多个喷头的同步或异步动作。目的：提高喷涂的均匀性和生产效率。该场景涉及X、Y、Z轴的协调运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高同步性、高精度和高稳定性，同时需要具备强大的抗干扰能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '制造业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、喷头、编码器、工业控制器、伺服驱动器、传感器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高同步性、高精度和高稳定性，同时需要具备强大的抗干扰能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某大型机械制造企业的自动化喷涂生产线应用案例'",b4b2ecf75d1aad0ccc5d6f76a00fe3b9,['0b580b9ef6982f0f0df4a4d66627f6c0'],617
2999540b55ee0bc255eb7068816305ca,"'Unnamed: 0': '34'
'场景名称：请具体到一个工位、动作或功能': '器件定位和切割控制'
'行业': '半导体设备'
'应用/装备名称': '光学纤维切割机'
'行业：请填写该场景对应的行业名称': '半导体设备'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '光学纤维切割机用于精确切割光纤。直流伺服用于控制切割头的位置和运动，实现高精度、高稳定性的切割操作，确保切口平整、不损伤光纤芯。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '对XYZ轴的精度控制和切割稳定性要求极高，需考虑光纤的特殊材质和操作环境。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '半导体设备'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '直流伺服驱动, 切割头, XYZ轴机构, 控制器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '对XYZ轴的精度控制和切割稳定性要求极高，需考虑光纤的特殊材质和操作环境。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某光通信公司用于光纤切割生产线'",2999540b55ee0bc255eb7068816305ca,['0ebb59cf6ec9d6aa8440c8e5f9d02602'],662
ad37dec2a2a19c9d593c5a4927c7c7d2,"'Unnamed: 0': '128'
'场景名称：请具体到一个工位、动作或功能': '自动化垃圾分类设备'
'行业': '环保'
'应用/装备名称': '垃圾分类机'
'行业：请填写该场景对应的行业名称': '其他'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '垃圾分类设备需要精确地控制分类机械的动作。目的：提高垃圾分类的效率和准确性。该场景涉及X、Y、Z轴的协调运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高精度、高速度和高稳定性的运动控制，以确保分类过程的顺利。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': 'nan'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、直线导轨、编码器、抓取装置、工业控制器、伺服驱动器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高精度、高速度和高稳定性的运动控制，以确保分类过程的顺利。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某城市垃圾分类中心的自动化设备应用案例'",ad37dec2a2a19c9d593c5a4927c7c7d2,['0ef3b480f790041f124fcdd02d029e12'],606
c0726458ba2e66f48f0fa2309b6fff34,"'Unnamed: 0': '38'
'场景名称：请具体到一个工位、动作或功能': '器件切割控制'
'行业': '半导体设备'
'应用/装备名称': '划片机'
'行业：请填写该场景对应的行业名称': '半导体设备'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '划片机用于切割半导体晶圆或LED晶片。直流伺服用于控制刀头的XYZ轴运动，实现高精度的划片操作，确保切割路径精确，质量可靠。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '对XYZ轴高精度运动控制和刀头的稳定性要求高，防止损坏晶片和提高划片速度。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '半导体设备'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '3个直流伺服驱动, 刀头, XYZ轴机构, 控制器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '对XYZ轴高精度运动控制和刀头的稳定性要求高，防止损坏晶片和提高划片速度。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某半导体公司用于晶圆生产的划片工序'",c0726458ba2e66f48f0fa2309b6fff34,['0f66aa41e48331a7b56cbd86cb2f2517'],634
a4cdb403788ae9e31262a18f4fb0801c,"'Unnamed: 0': '117'
'场景名称：请具体到一个工位、动作或功能': '自动化点焊机'
'行业': '制造业'
'应用/装备名称': '点焊机'
'行业：请填写该场景对应的行业名称': '制造业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '在点焊机中，需要对焊点进行精准定位，以完成多点焊接。目的：实现高效、精准的焊接过程。该场景需要多个轴的协调运动，包括X轴、Y轴的平面运动以及Z轴的上下运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高响应速度、高位置精度和强大的负载能力，以应对焊接过程中复杂的动力学变化。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '制造业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、直线导轨、编码器、工业控制器、伺服驱动器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高响应速度、高位置精度和强大的负载能力，以应对焊接过程中复杂的动力学变化。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某汽车制造厂的机器人自动化点焊机应用'",a4cdb403788ae9e31262a18f4fb0801c,['138e79726c7975bef990168f7203d1c7'],640
a46344e3103e068d36f2d181c78d6f78,"'Unnamed: 0': '0'
'场景名称：请具体到一个工位、动作或功能': '3D打印机'
'行业': 'nan'
'应用/装备名称': '3D打印机'
'行业：请填写该场景对应的行业名称': '消费类, 制造业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': 'xyz轴同步配合'
'部件组合：为完成该场景目标动作所需的所有部件': '工控机或单片机
   3轴定制直线电机'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': ' '
'行业：请填写该场景对应的行业名称 Copy': '消费类, 制造业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '工控机或单片机
   3轴定制直线电机'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': ' '",a46344e3103e068d36f2d181c78d6f78,['145796de1b63eaf6904db49b32c31c40'],578
678f6e80926121e103efae5e48a8c9f2,"'Unnamed: 0': '25'
'场景名称：请具体到一个工位、动作或功能': '割草路径控制'
'行业': '协作机器人'
'应用/装备名称': '割草机器人'
'行业：请填写该场景对应的行业名称': '电动工具'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '割草机器人自动完成割草作业。直流伺服驱动用于控制机器人的前进、转向以及割草刀片的旋转，实现精确的割草路径控制和草坪的均匀修整。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '对路径控制的精度、割草刀片的速度和稳定性要求高，并考虑低噪音和节能。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': 'nan'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '直流伺服驱动, 割草刀片, 车轮模块, 控制器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '对路径控制的精度、割草刀片的速度和稳定性要求高，并考虑低噪音和节能。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某园艺设备公司推出的自动割草机器人'",678f6e80926121e103efae5e48a8c9f2,['16baceb6481924f5386bf1d73c50a89a'],635
