id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
b45241d70f0e43fca764df95b2b81f77,医美机器人,"PRODUCT, TECHNOLOGY",医美机器人 is a specialized robot used in the medical aesthetics industry for precise and flexible operations in beauty surgeries,0,,['6a6b204fca456cc0d7497c7446519292'],"[ 0.03771472  0.02081315 -0.04655226 ... -0.06730435 -0.03347867
 -0.0025517 ]"
4119fd06010c494caa07f439b333f4c5,协作机器人,INDUSTRY,"The entity ""协作机器人"" (Pinyin: ""Xiézuò jīqìrén"", English: ""Collaborative Robots"") refers to a type of robot designed to work alongside humans in shared workspaces across various industries. These robots are specifically engineered for collaborative tasks, ensuring safety and precision in environments where human-robot interaction is crucial. Commonly utilized in manufacturing settings, they also find applications in quality control and potentially in niche areas like massage robot technology. The collaborative robot industry is characterized by the development and deployment of these robots, which facilitate human-robot collaboration in tasks that demand accuracy and safety. This sector is pivotal in integrating automation with human labor, enhancing efficiency and productivity in shared work environments.",1,,"['52193089f44e2d4de3eae704535af318' '678f6e80926121e103efae5e48a8c9f2'
 '6a6b204fca456cc0d7497c7446519292' '725fed5878bff0529e13ba809e325469'
 '7db76b99a4ad703f2ced3f3241ae2de7' '8ae4de39dd9ba11cfa17e06a2174416b'
 'c94be7ba5abf1f79d420aac7fe8bae2e' 'cd60c553dba9bff40c77be4f699fab03'
 'cd97ce82b07072c24ffdddbbf2a468a4' 'cdeb6a80c5f50f79066c94f515892c2d'
 'd50dbe44b899b4cfaf149cb3fd0c4159' 'efb5708268afc67a61b9f35e5fd9b376']","[ 0.00619665  0.00354449 -0.02096149 ... -0.02912428 -0.03636923
 -0.00876235]"
d3835bf3dda84ead99deadbeac5d0d7d,多轴直流伺服驱动,"TECHNOLOGY, COMPONENT",多轴直流伺服驱动 is a technology used in the医美机器人 for achieving high precision and flexible control in operations,2,,['6a6b204fca456cc0d7497c7446519292'],"[ 0.03245517  0.01560694 -0.02298424 ... -0.04433724 -0.01876025
 -0.0163544 ]"
077d2820ae1845bcbb1803379a3d1eae,伺服电机,COMPONENT,"The entity, ""伺服电机"" (Fu Shi Dian Ji), is a specialized motor component renowned for its ability to provide precise control over position, velocity, and acceleration in various applications. This motor is a critical part of automation systems, contributing to the functionality of the ""检测机器人"" (Jian Ce Ji Qi Ren) and other machinery by enabling precise control and positioning. It is widely utilized in different sectors, including medical robots, where it ensures the accurate control and movement of equipment, and the 3C equipment industry, specifically in the ""转台装置"" (Zhuan Tai Zhuang Zhi), for providing precise control and power to the system. 

In the automatic ordering and delivery robot, the ""伺服电机"" facilitates precise control and movement, while in the automatic photovoltaic battery testing equipment, it is responsible for precise motion control. This motor is also a component in the cloud platform device, ensuring smooth rotation and high precision control. In the collaborative robot painting workstation, it is part of the necessary parts combination to complete tasks. 

The ""伺服电机"" is also used in medical imaging equipment and medical laboratory robots for precise control and movement. It is a component in the multi-axis DC servo drive system, smart handling robot, and smart warehousing system, where it ensures precise control and movement of materials. In the ""移液机器人"" (Yi Ye Ji Qi Ren) and ""医疗机器人"" (Yi Liao Ji Qi Ren), this motor is crucial for precise motion control. 

Furthermore, the ""伺服电机"" is used in the automatic welding machine, controlled by the DC servo drive to achieve precise motion control. It is a type of motor used in control systems and machinery for its ability to provide precise control over position, velocity, and torque, making it a versatile component in robotics and automation.",3,,"['3171a8e0686e844a43b8a5bcb122df77' '3a1d23ceba280b76b50f854902585bbb'
 '4418484e1f856e36e079b84bd1272840' '69db1015cf2586f3740f46c919eb8e25'
 '69ddcc4f6ff5df8aa797fee7694ff710' '6a6b204fca456cc0d7497c7446519292'
 '725fed5878bff0529e13ba809e325469' '76f3b1592256b4437b7d47b5f14ae2c6'
 '7db76b99a4ad703f2ced3f3241ae2de7' '8327ea60cb9724d1bf3f13f18f1b917c'
 '8aa843d0b018051f90583fd0dee4a404' '8ae4de39dd9ba11cfa17e06a2174416b'
 '98cdaf1813fc652ea5cff51372d95793' 'b310460babc9fa725ad47320c61e0086'
 'c3025b9f170d4cb9a5794da27f609eb1' 'c4ca69bc6be35c42c4725a35a741befa'
 'ca10fe3d16756300859a0693aee7f7a0' 'd50dbe44b899b4cfaf149cb3fd0c4159'
 'd9eda21d3e37948306b3b3c665150e73' 'e78da4dada0873bf9b05c64978c91bb0'
 'ead29f227b9db281279d460a522ad9d5' 'ef6d9b5e0927a32e780b2b369685d3ee']","[-0.01037065  0.01281554 -0.01562312 ... -0.02157577 -0.04472921
 -0.02425522]"
3671ea0dd4e84c1a9b02c5ab2c8f4bac,传感器,COMPONENT,"The entity, referred to as ""傳感器"" (Chuanshouqi), is a versatile and integral component in various automation and medical systems. These devices are adept at detecting and responding to a wide range of physical or chemical stimuli, such as heat, light, sound, pressure, specific gases, and other physical phenomena. They convert this information into electrical signals, facilitating data collection and enabling accurate operations in different contexts.

In the realm of manufacturing and logistics technology, ""傳感器"" plays a crucial role in automatic photovoltaic battery testing equipment, where it collects data for monitoring and quality control. Similarly, in the medical sector, these sensors are utilized in medical robots, imaging equipment, laboratory robots, and drug sorting processes. They ensure the detection and measurement of various parameters, contributing to the precision and efficiency of medical operations.

Furthermore, ""傳感器"" is a key component in automation systems, including automatic ordering and delivery robots, smart handling robots, and smart warehousing systems. They provide essential feedback for control systems, allowing for the monitoring and control of physical conditions and inputs such as light, heat, motion, moisture, and pressure. This capability makes ""傳感器"" indispensable in ensuring the smooth operation and optimization of automation processes in diverse industries.",4,,"['3171a8e0686e844a43b8a5bcb122df77' '69ddcc4f6ff5df8aa797fee7694ff710'
 '6a6b204fca456cc0d7497c7446519292' '725fed5878bff0529e13ba809e325469'
 '76f3b1592256b4437b7d47b5f14ae2c6' '8327ea60cb9724d1bf3f13f18f1b917c'
 '8ae4de39dd9ba11cfa17e06a2174416b' '98cdaf1813fc652ea5cff51372d95793'
 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9' 'c3025b9f170d4cb9a5794da27f609eb1'
 'ca10fe3d16756300859a0693aee7f7a0' 'd9eda21d3e37948306b3b3c665150e73'
 'e78da4dada0873bf9b05c64978c91bb0' 'ead29f227b9db281279d460a522ad9d5'
 'ef6d9b5e0927a32e780b2b369685d3ee' 'f08d35c87cc299fc9fe46d2ec11626f7']","[-0.02859233  0.00148172 -0.01772252 ... -0.04455765 -0.01094847
 -0.03079764]"
19a7f254a5d64566ab5cc15472df02de,控制系统,"COMPONENT, TECHNOLOGY","The 控制系统 (Kòngzhì Xìtǒng), or Control System, is a pivotal component in various industrial and medical applications, serving as the central nervous system for managing and coordinating the operation of other components and processes. This system is integral to medical robots, where it oversees the functions and movements of the equipment, ensuring precise and coordinated actions. In the context of cloud platform devices, the Control System manages and coordinates the operation of the servo motor and encoder, facilitating smooth and efficient performance. It is also a critical part of collaborative robot painting workstations, where it plays a role in the parts combination necessary to complete tasks with accuracy and efficiency.

The Control System is a high-performance industrial control computer used in medical imaging devices, managing the various components to achieve optimal imaging results. It is also a component of automatic photovoltaic battery testing equipment, where it manages the operation of other components to ensure the reliability and quality of the batteries. In medical imaging equipment, the Control System ensures the seamless operation of all components, contributing to accurate and detailed imaging.

The Control System is fundamental in automation, managing and regulating the operation of machines and processes, ensuring they operate within specified parameters. This system is used to manage and control the operation of machinery and its components, maintaining high precision and efficiency. In the 3C设备 (Sān Cí Shèbèi) industry, particularly in the 转台装置 (Zhuǎntái Zhuāngzhì), the Control System manages and coordinates the operation of the system, facilitating the production of high-quality products.

In the manufacturing of solar inverters, the Control System is part of the equipment used, responsible for managing the operation of the equipment to ensure high precision and efficiency in assembly and testing. This system is also crucial in the operation of automatic welding machines, where it ensures high precision, consistency, and stability in the welding process, contributing to the production of high-quality welds. Overall, the Control System is a versatile and essential technology in various industries, playing a critical role in managing and coordinating the operation of machinery and processes.",5,,"['0121fa7828a456349a5d679825172e9b' '3a1d23ceba280b76b50f854902585bbb'
 '4418484e1f856e36e079b84bd1272840' '69db1015cf2586f3740f46c919eb8e25'
 '6a6b204fca456cc0d7497c7446519292' '8aa843d0b018051f90583fd0dee4a404'
 '937c32a23dadd297f434106e4a601a61' '98cdaf1813fc652ea5cff51372d95793'
 'b310460babc9fa725ad47320c61e0086' 'c4ca69bc6be35c42c4725a35a741befa'
 'd50dbe44b899b4cfaf149cb3fd0c4159' 'e78da4dada0873bf9b05c64978c91bb0'
 'ead29f227b9db281279d460a522ad9d5']","[-0.00214806 -0.02477771  0.00430239 ... -0.01025843 -0.0308496
 -0.00541695]"
e7ffaee9d31d4d3c96e04f911d0a8f9e,卫星转台,"PRODUCT, TECHNOLOGY","卫星转台 is a device used in the military industry for tracking and positioning, capable of executing rotation and pitch actions",6,,['588823a50fa2ae7eea9383df183d8a98'],"[ 0.02574285  0.00095132 -0.0259042  ... -0.01135369 -0.00847116
 -0.04016214]"
f7e11b0e297a44a896dc67928368f600,军工设备,"INDUSTRY, MILITARY","军工设备 refers to equipment used in the military industry, which includes the satellite turntable",7,,['588823a50fa2ae7eea9383df183d8a98'],"[-0.01008643 -0.00073702  0.00545063 ...  0.01232219 -0.00205272
 -0.00961766]"
1fd3fa8bb5a2408790042ab9573779ee,主控制板,"PRODUCT, COMPONENT",主控制板 is a main control board developed by the customer for the satellite turntable,8,,['588823a50fa2ae7eea9383df183d8a98'],"[-0.02807647 -0.00863996  0.02140604 ... -0.02522159 -0.01622399
 -0.03489573]"
27f9fbe6ad8c4a8b9acee0d3596ed57c,旋转轴,"PRODUCT, COMPONENT","旋转轴 consists of a driver, reducer, encoder, and motor, enabling the satellite turntable to perform rotation actions",9,,['588823a50fa2ae7eea9383df183d8a98'],"[-0.02386571  0.02351654 -0.02088002 ...  0.00369146 -0.00804707
 -0.0219182 ]"
