source,target,weight,description,text_unit_ids,id,human_readable_id,source_degree,target_degree,rank
医美机器人,多轴直流伺服驱动,1.0,医美机器人 uses 多轴直流伺服驱动 for achieving high precision and flexible control in operations,['6a6b204fca456cc0d7497c7446519292'],907ec65076e5494a8631efffb81b3178,0,4,1,5
医美机器人,伺服电机,1.0,伺服电机 is a component of the医美机器人 used for precise motion control,['6a6b204fca456cc0d7497c7446519292'],2dc7f6b230db452190a09643ca3d5ec0,1,4,21,25
医美机器人,传感器,1.0,传感器 are components of the医美机器人 used for sensing and feedback,['6a6b204fca456cc0d7497c7446519292'],c20ecfc93b3a4875ade5c92cfe4b94a1,2,4,15,19
医美机器人,控制系统,1.0,控制系统 is a component of the医美机器人 that manages and coordinates the operation of other components,['6a6b204fca456cc0d7497c7446519292'],4bc7dc91ede345dfb63d7d4f7ac3554f,3,4,14,18
协作机器人,割草机器人,1.0,"割草机器人 is a product that falls under the category of协作机器人, designed for specific tasks",['678f6e80926121e103efae5e48a8c9f2'],0b2b815c9f834aaaac0c341097def9ba,4,10,8,18
协作机器人,锂电池制造设备,1.0,协作机器人 is related to the use of 锂电池制造设备 in the manufacturing process,['cd60c553dba9bff40c77be4f699fab03'],424ae71c56024094a02e6fd9bfcfbb04,5,10,4,14
协作机器人,协作机器人喷涂工位,1.0,协作机器人 is used at the 协作机器人喷涂工位 to perform painting tasks,['d50dbe44b899b4cfaf149cb3fd0c4159'],400d10f2ee1d49be9a66efa34dada0e6,6,10,5,15
协作机器人,直流伺服驱动,1.0,直流伺服驱动 is a component that works with 协作机器人 to ensure the quality of the painting process,['d50dbe44b899b4cfaf149cb3fd0c4159'],91deb9f152264e958d106d481ff2e1ee,7,10,57,67
协作机器人,锂电池卷绕机,1.0,协作机器人 can be used in the operation of the 锂电池卷绕机 for tasks such as winding and tension control,['c94be7ba5abf1f79d420aac7fe8bae2e'],586cf02da9494088aed9b3419725638f,8,10,6,16
协作机器人,协作机器人装配工位,1.0,在协作机器人装配工位上，协作机器人执行组件的拾取和放置任务，需要高精度和重复精度,['725fed5878bff0529e13ba809e325469'],229d85a2783e4a2991f17d2ab5750af7,9,10,2,12
协作机器人,锂电池测试设备,1.0,锂电池测试设备 is used in the industry of 协作机器人 for testing lithium batteries,['52193089f44e2d4de3eae704535af318'],b7f97d1909a3433abef8ca8e9334fafa,10,10,5,15
协作机器人,按摩机器人,1.0,协作机器人 is potentially used in the implementation of the massage robot for consumer applications,['cd97ce82b07072c24ffdddbbf2a468a4'],b7fdfffc38b94bf7872eabe9b022c8fd,11,10,3,13
协作机器人,消费类,1.0,"协作 robots are used in the consumer industry, possibly for the development of products like the massage robot",['cd97ce82b07072c24ffdddbbf2a468a4'],6242e0c237a348908d0256ea790a0211,12,10,3,13
协作机器人,协作机器人检测工位,1.0,协作机器人 is used at the 协作机器人检测工位 for performing quality inspections on products,['7db76b99a4ad703f2ced3f3241ae2de7'],7cc9f26737e1442595e53253e98015ef,13,10,5,15
伺服电机,协作机器人喷涂工位,1.0,伺服电机 is a component used in the 协作机器人喷涂工位 to complete the painting task,['d50dbe44b899b4cfaf149cb3fd0c4159'],1868fec1493643208dbdcad7bc97dfa0,14,21,5,26
伺服电机,医疗影像设备,1.0,伺服电机 is a component of 医疗影像设备 used for precise motion control,['e78da4dada0873bf9b05c64978c91bb0'],a87aa935dccf49cd98b40fb5afe7ad5c,15,21,5,26
伺服电机,自动光伏电池测试设备,1.0,伺服电机 is a component of the 自动光伏电池测试设备 for precise motion,['ead29f227b9db281279d460a522ad9d5'],36870a3393f6413e9bf647168eb6977a,16,21,6,27
伺服电机,转台装置,1.0,"伺服电机 is a component of the 转台装置, providing the necessary power and control for stable rotation",['3a1d23ceba280b76b50f854902585bbb'],4fe3ff52700c491f8cc650aadb4d7cb0,17,21,4,25
伺服电机,药物分拣设备,1.0,伺服电机 is a component of the 药物分拣设备 used for precise control,['8327ea60cb9724d1bf3f13f18f1b917c'],f1f6f6435a444e388d67e16e847afca6,18,21,5,26
伺服电机,直流伺服驱动,2.0,"The entity ""伺服电机"" (Servo Motor) is a critical component in the realm of automation, renowned for its capability to achieve precise movement control. ""直流伺服驱动"" (DC Servo Drive) is a technology specifically designed to operate in tandem with servo motors, enabling the realization of high-precision motion control. This technology is commonly utilized alongside servo motors, facilitating the accurate and controlled movement essential for various applications in automation and manufacturing processes.",['69ddcc4f6ff5df8aa797fee7694ff710' '725fed5878bff0529e13ba809e325469'],0af2ca1c090843ea92679fd14c1fbc9a,19,21,57,78
伺服电机,控制系统,1.0,伺服电机 is controlled by the 控制系统 for precise motion in automation systems,['b310460babc9fa725ad47320c61e0086'],1b06d3e53ffd4771952fbef04d1e666c,20,21,14,35
伺服电机,印刷电路板钻孔机,1.0,"伺服电机 is a component of the 印刷电路板钻孔机, used for precise control and movement",['c4ca69bc6be35c42c4725a35a741befa'],b8e966b34cba4b11b9995106767212ba,21,21,4,25
伺服电机,移液机器人,1.0,伺服电机 is a component of the 移液机器人 used for precise control and positioning,['3171a8e0686e844a43b8a5bcb122df77'],f6de923de6474d2cab6a9c2f0d81fa59,22,21,4,25
伺服电机,自动焊接机,1.0,"自动焊接机 uses the 伺服电机, controlled by the DC servo drive, for precise motion control",['69db1015cf2586f3740f46c919eb8e25'],6915637e8d124fdc8473111d501e3703,23,21,4,25
伺服电机,云台装置,1.0,伺服电机 is a component of the 云台装置 used for smooth rotation and high precision control,['8aa843d0b018051f90583fd0dee4a404'],2233f31929194eac89333ce8731a5584,24,21,4,25
伺服电机,自动化仓库堆垛机,1.0,伺服电机 is a component used in the automation warehouse stacker for precise control and positioning,['76f3b1592256b4437b7d47b5f14ae2c6'],61f1dc4267314470ac820b6a46c61f7b,25,21,5,26
伺服电机,智能清舱农机,1.0,智能清舱农机 uses servo motors for efficient movement and operation,['4418484e1f856e36e079b84bd1272840'],f0c578614b224345974c3e4c110878af,26,21,5,26
伺服电机,智能仓储系统,1.0,智能仓储 system uses servo motors for precise positioning and movement,['ef6d9b5e0927a32e780b2b369685d3ee'],7ffb88ebc729492c897ccfb569d7f6d0,27,21,6,27
伺服电机,自动点餐与配送机器人,1.0,伺服电机 is a component used in the 自动点餐与配送机器人 for precise control and movement,['ca10fe3d16756300859a0693aee7f7a0'],60dce7d8bc1b4729a038178a400b9a59,28,21,5,26
伺服电机,巡检机器人,1.0,伺服电机 is a component of the 巡检机器人 that contributes to its operation,['c3025b9f170d4cb9a5794da27f609eb1'],4cbb4e238c5b4656803fb9b4b6c3512e,29,21,4,25
伺服电机,医疗实验室搬运机器人,1.0,伺服电机 is a component of the 医疗实验室搬运机器人 for precise control,['d9eda21d3e37948306b3b3c665150e73'],652873bcd6d5432187e5deafc4fc5211,30,21,5,26
伺服电机,协作机器人检测工位,1.0,伺服电机 is a component used in the 协作机器人检测工位 to provide precise control over the movement of the collaborative robot,['7db76b99a4ad703f2ced3f3241ae2de7'],78f9b30c08134ac5abb4f4e0bff0f7f2,31,21,5,26
伺服电机,医疗机器人,1.0,"伺服电机 is a component of the 医疗机器人, providing precise control and movement",['98cdaf1813fc652ea5cff51372d95793'],f33e4e897b1e422bb516e8a2c941d9dc,32,21,4,25
伺服电机,智能搬运机器人,1.0,智能搬运机器人 uses 伺服电机 for precise control and movement,['8ae4de39dd9ba11cfa17e06a2174416b'],fac4e1553a9840e990bbfff46e64ff27,33,21,4,25
传感器,自动化喷涂生产线,1.0,"传感器 are used in the 自动化喷涂生产线 to detect and respond to various physical inputs, aiding in process control",['b4b2ecf75d1aad0ccc5d6f76a00fe3b9'],029a55d327ee4fb3a8314b36d52bdf34,34,15,8,23
传感器,医疗影像设备,1.0,传感器 is a component of 医疗影像设备 used for detection and measurement,['e78da4dada0873bf9b05c64978c91bb0'],5a636c894c384532bff66212cf9d5824,35,15,5,20
传感器,自动光伏电池测试设备,1.0,传感器 are used in the 自动光伏电池测试设备 for data collection,['ead29f227b9db281279d460a522ad9d5'],a9c468ef78704e9aabfc0317a5b1b42d,36,15,6,21
传感器,自动化喷漆设备,1.0,"传感器 is a component of the 自动化喷漆设备, detecting and measuring physical conditions for control",['f08d35c87cc299fc9fe46d2ec11626f7'],5df80c25d33a4d148a14aa614343cc6b,37,15,7,22
传感器,药物分拣设备,1.0,传感器 is a component of the 药物分拣设备 used for detecting and measuring parameters,['8327ea60cb9724d1bf3f13f18f1b917c'],6a87f06ed55a46f29b24f77e548a3f1d,38,15,5,20
