id,text,n_tokens,document_ids,entity_ids,relationship_ids
6a6b204fca456cc0d7497c7446519292,"'Unnamed: 0': '98'
'场景名称：请具体到一个工位、动作或功能': '医美机器人'
'行业': '协作机器人'
'应用/装备名称': '医美机器人'
'行业：请填写该场景对应的行业名称': '其他'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '医美机器人用于美容手术，通过多轴直流伺服驱动实现精准操作和灵活控制。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高精度、柔性、安全性'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': 'nan'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '伺服电机、传感器、控制系统'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '高精度、柔性、安全性'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '激光美容机器人'",503,['00c63fe66bdcdb26a99251a0977a2f60'],"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '19a7f254a5d64566ab5cc15472df02de']","['907ec65076e5494a8631efffb81b3178' '2dc7f6b230db452190a09643ca3d5ec0'
 'c20ecfc93b3a4875ade5c92cfe4b94a1' '4bc7dc91ede345dfb63d7d4f7ac3554f']"
588823a50fa2ae7eea9383df183d8a98,"'Unnamed: 0': '12'
'场景名称：请具体到一个工位、动作或功能': '搭载到车上，跟踪定位、执行旋转 和俯仰的动作'
'行业': 'nan'
'应用/装备名称': '卫星转台'
'行业：请填写该场景对应的行业名称': '其他'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': '军工设备'
'场景与方案概述：请简述该场景下的目的和动作': '为了精确的跟踪定位，主要由两个动作组成，旋转和俯仰'
'部件组合：为完成该场景目标动作所需的所有部件': '主控制板，客户自己研发的
旋转轴 驱动器+减速机+编码器+电机
俯仰轴 驱动器+减速机+编码器+电机'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '1、客户本身要求是要用脉冲进行速度控制
2、客户的设备会再不同的温度下进行，低温下会造成运动阻力大，摩擦大的情况，增益可能要重新配置。
3、客户控制源为脉冲，会有丢脉冲的可能性，客户主站自己做了位置闭环的PID'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': '无项目名称、、但是可以提供支持记录https://motiong.feishu.cn/wiki/SGmmwuE2sifQAEkgFkdcc7dYnOg'
'行业：请填写该场景对应的行业名称 Copy': '其他'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '主控制板，客户自己研发的
旋转轴 驱动器+减速机+编码器+电机
俯仰轴 驱动器+减速机+编码器+电机'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '1、客户本身要求是要用脉冲进行速度控制
2、客户的设备会再不同的温度下进行，低温下会造成运动阻力大，摩擦大的情况，增益可能要重新配置。
3、客户控制源为脉冲，会有丢脉冲的可能性，客户主站自己做了位置闭环的PID'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '无项目名称、、但是可以提供支持记录https://motiong.feishu.cn/wiki/SGmmwuE2sifQAEkgFkdcc7dYnOg'",908,['0578cef378ec6ceccc9380bd2a67b600'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'f7e11b0e297a44a896dc67928368f600'
 '1fd3fa8bb5a2408790042ab9573779ee' '27f9fbe6ad8c4a8b9acee0d3596ed57c'
 'e1fd0e904a53409aada44442f23a51cb']","['21b0499cf14342269c46170c291d0535' 'c1ef05b38b3f4d59888150fc0dd26826'
 '74cb9b3510e84498b9aee0d904316e8b' '043d764b2e1b4d1294651ff938df5391']"
abe4f205eda50d06d6f8dd7b025f59c7,"'Unnamed: 0': '129'
'场景名称：请具体到一个工位、动作或功能': '自动化农业喷灌系统'
'行业': '农业'
'应用/装备名称': '喷灌设备'
'行业：请填写该场景对应的行业名称': '农业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '农业喷灌系统需要精确地控制水流和喷头的位置。目的：提高灌溉效率和农作物生产率。该场景涉及X、Y轴的平面运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高精度、高效率的运动控制和抗恶劣环境的能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '农业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、喷头、管道系统、编码器、工业控制器、伺服驱动器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高精度、高效率的运动控制和抗恶劣环境的能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某大型农业种植企业的自动化喷灌系统应用案例'",599,['0a8b861815452d73c59459b87b00f4ae'],"['de988724cfdf45cebfba3b13c43ceede' '96aad7cb4b7d40e9b7e13b94a67af206'
 'c9632a35146940c2a86167c7726d35e9' '9646481f66ce4fd2b08c2eddda42fc82'
 'd91a266f766b4737a06b0fda588ba40b' 'bc0e3f075a4c4ebbb7c7b152b65a5625'
 '254770028d7a4fa9877da4ba0ad5ad21' '4a67211867e5464ba45126315a122a8a'
 '04dbbb2283b845baaeac0eaf0c34c9da' '1943f245ee4243bdbfbd2fd619ae824a']","['31f2170fef004f3281c533a4a60dc3f3' '57f186c5c2754483ba66750e98222f95'
 '4b3fc569d91f4a7aa6501ad4fcf67b7a' 'cbc1667556f84a5eadf867a823e6986c'
 'a876d1ab79864396bc47a039225fd5c7' 'c09f67d4f25448c99f7c0552c30b7706'
 'c0866306dc8c4da2a8a81c0c3a78b657' '3884c37eb13a4c9097ee2c5be4eeefaf']"
b4b2ecf75d1aad0ccc5d6f76a00fe3b9,"'Unnamed: 0': '131'
'场景名称：请具体到一个工位、动作或功能': '自动化喷涂生产线'
'行业': '制造业'
'应用/装备名称': '喷涂设备'
'行业：请填写该场景对应的行业名称': '制造业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '喷涂生产线需要精确地控制多个喷头的同步或异步动作。目的：提高喷涂的均匀性和生产效率。该场景涉及X、Y、Z轴的协调运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高同步性、高精度和高稳定性，同时需要具备强大的抗干扰能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '制造业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、喷头、编码器、工业控制器、伺服驱动器、传感器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高同步性、高精度和高稳定性，同时需要具备强大的抗干扰能力。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某大型机械制造企业的自动化喷涂生产线应用案例'",617,['0b580b9ef6982f0f0df4a4d66627f6c0'],"['3671ea0dd4e84c1a9b02c5ab2c8f4bac' '9646481f66ce4fd2b08c2eddda42fc82'
 'd91a266f766b4737a06b0fda588ba40b' '254770028d7a4fa9877da4ba0ad5ad21'
 '4a67211867e5464ba45126315a122a8a' '04dbbb2283b845baaeac0eaf0c34c9da'
 '273daeec8cad41e6b3e450447db58ee7' 'e69dc259edb944ea9ea41264b9fcfe59'
 'e2f5735c7d714423a2c4f61ca2644626']","['029a55d327ee4fb3a8314b36d52bdf34' '01abe16e67c241a887aa62abe22d155c'
 'c7e8b188b45841a0a1bcb22f3445ea6e' 'a7ec8df038d7461689d28f1bdea84d9b'
 '68f998c9c8c34bb7a994de5a998bb9a0' 'e5c5c87a281b43868c344ff60f44c100'
 '40293e74dbc643e8ab6546dff759ac7c' '1834b753dc7f4a8b98c2317a551b56ee']"
2999540b55ee0bc255eb7068816305ca,"'Unnamed: 0': '34'
'场景名称：请具体到一个工位、动作或功能': '器件定位和切割控制'
'行业': '半导体设备'
'应用/装备名称': '光学纤维切割机'
'行业：请填写该场景对应的行业名称': '半导体设备'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '光学纤维切割机用于精确切割光纤。直流伺服用于控制切割头的位置和运动，实现高精度、高稳定性的切割操作，确保切口平整、不损伤光纤芯。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '对XYZ轴的精度控制和切割稳定性要求极高，需考虑光纤的特殊材质和操作环境。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '半导体设备'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '直流伺服驱动, 切割头, XYZ轴机构, 控制器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '对XYZ轴的精度控制和切割稳定性要求极高，需考虑光纤的特殊材质和操作环境。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某光通信公司用于光纤切割生产线'",662,['0ebb59cf6ec9d6aa8440c8e5f9d02602'],"['deece7e64b2a4628850d4bb6e394a9c3' 'e657b5121ff8456b9a610cfaead8e0cb'
 'bf4e255cdac94ccc83a56435a5e4b075' '3b040bcc19f14e04880ae52881a89c1c'
 '3d6b216c14354332b1bf1927ba168986' '1c109cfdc370463eb6d537e5b7b382fb'
 '3d0dcbc8971b415ea18065edc4d8c8ef']","['9eb8c635538243a690366f8bc1de34e0' '050c5b770d51409cb40f9c52f02d1329'
 '9e12f514d26d48dfab65807568a6cff9' '97f98b1623104f48aa93196a1f7dede2'
 '87718ef799a34104b6ef9c2df6621cbc']"
ad37dec2a2a19c9d593c5a4927c7c7d2,"'Unnamed: 0': '128'
'场景名称：请具体到一个工位、动作或功能': '自动化垃圾分类设备'
'行业': '环保'
'应用/装备名称': '垃圾分类机'
'行业：请填写该场景对应的行业名称': '其他'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '垃圾分类设备需要精确地控制分类机械的动作。目的：提高垃圾分类的效率和准确性。该场景涉及X、Y、Z轴的协调运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高精度、高速度和高稳定性的运动控制，以确保分类过程的顺利。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': 'nan'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、直线导轨、编码器、抓取装置、工业控制器、伺服驱动器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高精度、高速度和高稳定性的运动控制，以确保分类过程的顺利。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某城市垃圾分类中心的自动化设备应用案例'",606,['0ef3b480f790041f124fcdd02d029e12'],"['9646481f66ce4fd2b08c2eddda42fc82' '254770028d7a4fa9877da4ba0ad5ad21'
 '4a67211867e5464ba45126315a122a8a' '04dbbb2283b845baaeac0eaf0c34c9da'
 '68105770b523412388424d984e711917' '85c79fd84f5e4f918471c386852204c5'
 'eae4259b19a741ab9f9f6af18c4a0470' '3138f39f2bcd43a69e0697cd3b05bc4d'
 'dde131ab575d44dbb55289a6972be18f']","['37049be0a2c240c6a06acf9339237b8b' '8ddefa32e2ed4eaf8f76d17a676f74f3'
 'aafc13d02ade40adae13d3bee241817a' 'a562ffbe986247b7943990e7151f4d69'
 '655d40ea08e348ad94ae49785797da90' '254cea99330f4f2aa062c771146da7ea'
 'a2836232227c4e3383d166db860cb2a3' '8a9247ee9bac45bdbf69c9d0bb8419b5']"
c0726458ba2e66f48f0fa2309b6fff34,"'Unnamed: 0': '38'
'场景名称：请具体到一个工位、动作或功能': '器件切割控制'
'行业': '半导体设备'
'应用/装备名称': '划片机'
'行业：请填写该场景对应的行业名称': '半导体设备'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '划片机用于切割半导体晶圆或LED晶片。直流伺服用于控制刀头的XYZ轴运动，实现高精度的划片操作，确保切割路径精确，质量可靠。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '对XYZ轴高精度运动控制和刀头的稳定性要求高，防止损坏晶片和提高划片速度。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '半导体设备'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '3个直流伺服驱动, 刀头, XYZ轴机构, 控制器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '对XYZ轴高精度运动控制和刀头的稳定性要求高，防止损坏晶片和提高划片速度。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某半导体公司用于晶圆生产的划片工序'",634,['0f66aa41e48331a7b56cbd86cb2f2517'],"['de9e343f2e334d88a8ac7f8813a915e5' 'e2bf260115514fb3b252fd879fb3e7be'
 'b462b94ce47a4b8c8fffa33f7242acec' '17ed1d92075643579a712cc6c29e8ddb'
 '3ce7c210a21b4deebad7cc9308148d86']","['cd7f555e4ab948ba94bade14e262ff84' '86cd53087b2542f898d6cecca31e6145'
 '4cc609b1a64a442aac6b72078a315ac6' 'a3ee323c9c9a4f81b5907030122b80d2']"
a4cdb403788ae9e31262a18f4fb0801c,"'Unnamed: 0': '117'
'场景名称：请具体到一个工位、动作或功能': '自动化点焊机'
'行业': '制造业'
'应用/装备名称': '点焊机'
'行业：请填写该场景对应的行业名称': '制造业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '在点焊机中，需要对焊点进行精准定位，以完成多点焊接。目的：实现高效、精准的焊接过程。该场景需要多个轴的协调运动，包括X轴、Y轴的平面运动以及Z轴的上下运动。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '高响应速度、高位置精度和强大的负载能力，以应对焊接过程中复杂的动力学变化。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': '制造业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '驱动电机、直线导轨、编码器、工业控制器、伺服驱动器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '要求：高响应速度、高位置精度和强大的负载能力，以应对焊接过程中复杂的动力学变化。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某汽车制造厂的机器人自动化点焊机应用'",640,['138e79726c7975bef990168f7203d1c7'],"['9646481f66ce4fd2b08c2eddda42fc82' '254770028d7a4fa9877da4ba0ad5ad21'
 '4a67211867e5464ba45126315a122a8a' '04dbbb2283b845baaeac0eaf0c34c9da'
 'e69dc259edb944ea9ea41264b9fcfe59' '3138f39f2bcd43a69e0697cd3b05bc4d'
 'd64ed762ea924caa95c8d06f072a9a96' 'adf4ee3fbe9b4d0381044838c4f889c8']","['e785c52881704d95bf4ec03d2720f8ae' '95ec30ce8dbe4ca28714e3e3735da8f3'
 '81a4818e5cf84ea085abf09de385c86e' '7ea0bc1467e84184842de2d5e5bdd78e'
 'd9b127eab2f64e338d7adcd186786a45' 'a18f7c9f58ca49d6acf18e1ca69d3033'
 '757a0f78fcdd4bf6b8326a75fcee9e15' '5b85c70d578c4d67b5cb4743552bd559']"
a46344e3103e068d36f2d181c78d6f78,"'Unnamed: 0': '0'
'场景名称：请具体到一个工位、动作或功能': '3D打印机'
'行业': 'nan'
'应用/装备名称': '3D打印机'
'行业：请填写该场景对应的行业名称': '消费类, 制造业'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': 'xyz轴同步配合'
'部件组合：为完成该场景目标动作所需的所有部件': '工控机或单片机
   3轴定制直线电机'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': ' '
'行业：请填写该场景对应的行业名称 Copy': '消费类, 制造业'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '工控机或单片机
   3轴定制直线电机'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': ' '",578,['145796de1b63eaf6904db49b32c31c40'],"['32ee140946e5461f9275db664dc541a5' 'c160b9cb27d6408ba6ab20214a2f3f81'
 '23527cd679ff4d5a988d52e7cd056078' 'f1c6eed066f24cbdb376b910fce29ed4'
 '83a6cb03df6b41d8ad6ee5f6fef5f024' '147c038aef3e4422acbbc5f7938c4ab8'
 'b7702b90c7f24190b864e8c6e64612a5' 'de6fa24480894518ab3cbcb66f739266'
 '6fae5ee1a831468aa585a1ea09095998']","['956113fb770840c38bce65bb5832f988' '785bb55e79954b0c84a4a53cd7f0b454'
 '1239281fd3774b91a99358c9c1e6ee1c' '32b29a842b224f4c99fa1d5c764efc9a'
 'f5ae7dc11fd64822a3a15e7d3839031a' 'e1e254e67719488894eaa3553112a8cf'
 'ebdd79169d7d41b99faf09b039a66204' 'e036534e17b24dd2895167a20873230f'
 'ce8241c964724429bb361b7b53867007' '61cd7f168f7f44d6a23415e9497f1e65']"
678f6e80926121e103efae5e48a8c9f2,"'Unnamed: 0': '25'
'场景名称：请具体到一个工位、动作或功能': '割草路径控制'
'行业': '协作机器人'
'应用/装备名称': '割草机器人'
'行业：请填写该场景对应的行业名称': '电动工具'
'行业：请填写该场景对应的行业名称-其他-补充内容 2': 'nan'
'场景与方案概述：请简述该场景下的目的和动作': '割草机器人自动完成割草作业。直流伺服驱动用于控制机器人的前进、转向以及割草刀片的旋转，实现精确的割草路径控制和草坪的均匀修整。'
'部件组合：为完成该场景目标动作所需的所有部件': 'nan'
'部件组合': 'nan'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意': '对路径控制的精度、割草刀片的速度和稳定性要求高，并考虑低噪音和节能。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息': 'nan'
'行业：请填写该场景对应的行业名称 Copy': 'nan'
'部件组合：为完成该场景目标动作所需的所有部件 Copy': '直流伺服驱动, 割草刀片, 车轮模块, 控制器'
'场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy': '对路径控制的精度、割草刀片的速度和稳定性要求高，并考虑低噪音和节能。'
'案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy': '某园艺设备公司推出的自动割草机器人'",635,['16baceb6481924f5386bf1d73c50a89a'],"['4119fd06010c494caa07f439b333f4c5' 'e657b5121ff8456b9a610cfaead8e0cb'
 '3d6b216c14354332b1bf1927ba168986' 'ef32c4b208d041cc856f6837915dc1b0'
 '07b2425216bd4f0aa4e079827cb48ef5' '2670deebfa3f4d69bb82c28ab250a209'
 '404309e89a5241d6bff42c05a45df206' 'b785a9025069417f94950ad231bb1441'
 '3b6cd96a27304614850709aba1c9598b']","['0b2b815c9f834aaaac0c341097def9ba' 'f64e87431d674f298c533f6878458b95'
 '43603c7868164ac38c659bce7a77f45a' 'bdbfbde5dd244447a2a0674b30ae3e8f'
 'f970bfe31db74929abff6ea38e5d18e6' '6f0c2a8b79e6406a8ab7a20864ae2ce2'
 '7b09e60e33f44ffdab9c656c5b9c1d50' '8b7beab7c0a143aea7bffc31df7528d5']"
