text_unit_ids,entity_ids,id
6a6b204fca456cc0d7497c7446519292,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '19a7f254a5d64566ab5cc15472df02de']",6a6b204fca456cc0d7497c7446519292
52193089f44e2d4de3eae704535af318,"['4119fd06010c494caa07f439b333f4c5' '3d6b216c14354332b1bf1927ba168986'
 '17ed1d92075643579a712cc6c29e8ddb' '3f3a2d7aa1294116814f0b4d89baa23d'
 '3073b33926bd4f33807ffa3befacefaf' '2b916117691c4872a9c4e4888d4fe4ab']",52193089f44e2d4de3eae704535af318
678f6e80926121e103efae5e48a8c9f2,"['4119fd06010c494caa07f439b333f4c5' 'e657b5121ff8456b9a610cfaead8e0cb'
 '3d6b216c14354332b1bf1927ba168986' 'ef32c4b208d041cc856f6837915dc1b0'
 '07b2425216bd4f0aa4e079827cb48ef5' '2670deebfa3f4d69bb82c28ab250a209'
 '404309e89a5241d6bff42c05a45df206' 'b785a9025069417f94950ad231bb1441'
 '3b6cd96a27304614850709aba1c9598b']",678f6e80926121e103efae5e48a8c9f2
725fed5878bff0529e13ba809e325469,"['4119fd06010c494caa07f439b333f4c5' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' 'e69dc259edb944ea9ea41264b9fcfe59'
 'e657b5121ff8456b9a610cfaead8e0cb' 'fbeef791d19b413a9c93c6608286ab63'
 '52701d941dfb45359693baae8f267056']",725fed5878bff0529e13ba809e325469
7db76b99a4ad703f2ced3f3241ae2de7,"['4119fd06010c494caa07f439b333f4c5' '077d2820ae1845bcbb1803379a3d1eae'
 '254770028d7a4fa9877da4ba0ad5ad21' 'e69dc259edb944ea9ea41264b9fcfe59'
 'fbeef791d19b413a9c93c6608286ab63' '53d98f08e7c74158b7318357b6c660b3']",7db76b99a4ad703f2ced3f3241ae2de7
8ae4de39dd9ba11cfa17e06a2174416b,"['4119fd06010c494caa07f439b333f4c5' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' 'e657b5121ff8456b9a610cfaead8e0cb'
 'fbeef791d19b413a9c93c6608286ab63' 'b07a7f088364459098cd8511ff27a4c8'
 '1389192ce5464be6b3b5749bc9536709']",8ae4de39dd9ba11cfa17e06a2174416b
c94be7ba5abf1f79d420aac7fe8bae2e,"['4119fd06010c494caa07f439b333f4c5' 'e657b5121ff8456b9a610cfaead8e0cb'
 '3d6b216c14354332b1bf1927ba168986' 'fc01e9baa80e417c9206f941bb279407'
 'de61b2670999433f807a6a1dc2b81e43' '3e95dacfe57b4d57b5da4310ef2e157f'
 '1f1545308e9347af91fd03b94aadc21f']",c94be7ba5abf1f79d420aac7fe8bae2e
cd60c553dba9bff40c77be4f699fab03,"['4119fd06010c494caa07f439b333f4c5' '17ed1d92075643579a712cc6c29e8ddb'
 'fa3c4204421c48609e52c8de2da4c654' '53af055f068244d0ac861b2e89376495'
 'c03ab3ce8cb74ad2a03b94723bfab3c7' 'ed6d2eee9d7b4f5db466b1f6404d31cc'
 'fc01e9baa80e417c9206f941bb279407' '56d0e5ebe79e4814bd1463cf6ca21394']",cd60c553dba9bff40c77be4f699fab03
cd97ce82b07072c24ffdddbbf2a468a4,"['4119fd06010c494caa07f439b333f4c5' 'ce55841ebfdd47008bab8c258f10372e'
 '6fefb317687d4ac98efe39a52f3e190f' '320d9d91238948a8be67972ccceab878']",cd97ce82b07072c24ffdddbbf2a468a4
cdeb6a80c5f50f79066c94f515892c2d,"['4119fd06010c494caa07f439b333f4c5' 'b07a7f088364459098cd8511ff27a4c8'
 '9a6f414210e14841a5b0e661aedc898d' 'c12b9ebd8b4e42b7896822a32e3fa6eb'
 '27505f6ade4b4e5f9316ffe9c34821f7' '0ee7db2c6bea4630ba9f0c25e8a967ad'
 '5a6c1d15424149f69052cd8d91fbff75' 'd005bf75c31d4848ad7041f39651e59c'
 '9b3eef8f3a3a45e6873838db95295b8a' 'fdc954b454744820804d7798f3e0b5de'
 '49c1383836934ec495c3b35769100a73']",cdeb6a80c5f50f79066c94f515892c2d
d50dbe44b899b4cfaf149cb3fd0c4159,"['4119fd06010c494caa07f439b333f4c5' '077d2820ae1845bcbb1803379a3d1eae'
 '19a7f254a5d64566ab5cc15472df02de' '254770028d7a4fa9877da4ba0ad5ad21'
 'e69dc259edb944ea9ea41264b9fcfe59' 'e657b5121ff8456b9a610cfaead8e0cb'
 '252cc8452bfc4c2aa58cab68d8b61879']",d50dbe44b899b4cfaf149cb3fd0c4159
efb5708268afc67a61b9f35e5fd9b376,"['4119fd06010c494caa07f439b333f4c5' 'e657b5121ff8456b9a610cfaead8e0cb'
 '3d6b216c14354332b1bf1927ba168986' 'fc01e9baa80e417c9206f941bb279407'
 '36be44627ece444284f9e759b8cd25c6' 'a64b4b17b07a44e4b1ac33580d811936'
 '423b72bbd56f4caa98f3328202c1c3c9']",efb5708268afc67a61b9f35e5fd9b376
3171a8e0686e844a43b8a5bcb122df77,"['077d2820ae1845bcbb1803379a3d1eae' '3671ea0dd4e84c1a9b02c5ab2c8f4bac'
 'fbeef791d19b413a9c93c6608286ab63' 'e2ec7d3cdbeb4dd086ae6eb399332363'
 '67f10971666240ea930f3b875aabdc1a']",3171a8e0686e844a43b8a5bcb122df77
